Processes	Seconds
1		81.472794
2		41.067802
3		27.605636
4		20.791770
5		16.658845
6		14.866229
7		13.751253
8		13.421901
9		11.426799
10		10.383452
11		9.394279
12		8.352105
13		8.700802
14		7.843067
15		7.693720
16		7.266382
17		7.079870
18		6.703925
19		6.594404
20		6.208308
21		5.777794
22		5.526464
23		5.283130
24		5.269856
25		5.319156
26		5.000474
27		4.664393
28		4.977993
29		4.398889
30		6.156101
31		3.986517
32		3.810177
33		6.516692
34		3.935371
35		3.466787
36		3.577277
37		4.234343
38		3.225604
39		5.566474
40		3.127939
41		5.473527
42		2.957094
43		2.939563
44		2.942175
45		4.731341
46		4.661252
47		4.490599
48		4.141369
49		3.280237
50		3.541537
51		4.049684
52		2.227097
53		3.999523
54		3.092027
55		3.279918
56		5.206296
57		2.101158
58		3.049026
59		2.700627
60		3.010550
61		2.726329
62		2.753816
63		3.616031
64		3.192582
