Processes	Seconds
1		0.176416
2		0.316063
3		0.231281
4		0.199258
5		0.163117
6		0.155500
7		0.123535
8		0.081598
9		0.062803
10		0.118435
11		0.117884
12		0.103387
13		0.102413
14		0.095475
15		0.092689
16		0.088620
17		0.093235
18		0.087551
19		0.084335
20		0.074433
21		0.074959
22		0.072087
23		0.086098
24		0.086459
25		0.059604
26		0.056379
27		0.052419
28		0.044591
29		0.044508
30		0.063754
31		0.069014
32		0.066476
33		0.068029
34		0.091437
35		0.085091
36		0.069234
37		0.095983
38		0.070714
39		0.088929
40		0.076797
41		0.076355
42		0.086927
43		0.080898
44		0.073179
45		0.129640
46		0.061846
47		0.082007
48		0.061564
49		0.095295
50		0.079958
51		0.042525
52		0.062619
53		0.141321
54		0.082143
55		0.104762
56		0.052259
57		0.072632
58		0.145083
59		0.069651
60		0.063129
61		0.084220
62		0.070858
63		0.092933
64		0.079981
65		0.096623
66		0.121737
67		0.087630
68		0.073884
69		0.038922
70		0.042818
71		0.052357
72		0.029717
73		0.167705
74		0.104422
75		0.105468
76		0.097651
77		0.098542
78		0.083662
79		0.101445
80		0.071300
81		0.088055
82		0.072152
83		0.159418
84		0.100034
85		0.101044
86		0.096008
87		0.081741
88		0.095506
89		0.066219
90		0.090020
91		0.102731
92		0.097156
93		0.066440
94		0.082328
95		0.091191
96		0.058965
97		0.156615
98		0.170646
99		0.140551
100		0.085505
