Threads;Seconds
1;7.794133
2;4.334939
3;3.178968
4;2.591929
5;2.253269
6;2.046450
7;1.896427
8;1.784211
9;1.673992
10;1.652549
12;1.544357
14;1.479310
15;1.432856
16;1.449633
18;1.496552
20;1.539443
21;1.419814
24;1.528134
25;1.470314
27;1.412244
28;1.419146
30;1.493448
32;1.347648
35;1.196172
36;1.153153
40;1.025868
42;1.012082
45;0.942591
48;0.913939
49;0.939872
50;0.866786
54;0.900540
56;0.784480
60;0.839819
63;1.226085
64;1.103188
70;0.633366
72;0.626651
75;0.531303
80;0.698468
81;0.625936
84;0.570641
90;0.942860
96;0.526183
98;1.208855
100;0.921641
105;0.544841
108;0.608927
112;0.475282
120;1.171307
125;0.886513
126;0.866730
128;0.766992
135;0.428082
140;1.338500
144;1.182947
147;1.209355
150;1.084277
160;0.552017
162;0.474677
168;0.394162
175;1.698836
180;1.720662
189;1.552248
192;1.463132
196;1.175981
200;0.862774
210;0.569395
216;0.384327
224;0.338971
225;0.333192
240;2.356130
243;2.299370
245;2.184747
250;2.081242
252;2.215023
256;2.123891
270;1.775693
280;1.360418
288;1.192127
294;1.136756
300;0.882663
315;0.715471
320;0.538868
324;0.457450
336;0.291019
343;3.887170
350;3.668813
360;3.754653
375;3.536249
378;3.548934
384;3.489328
392;3.363671
400;3.178899
405;3.097367
420;2.944319
432;2.819096
441;2.848879
448;2.775757
450;2.634584
480;2.317180
486;2.248230
490;2.145126
500;1.974400
504;1.995662
512;1.951998
525;1.708419
540;1.702601
560;1.406524
567;1.333109
576;1.127119
588;1.080859
600;0.870605
625;0.725260
630;0.691079
640;0.461922
648;0.367688
672;0.226822
675;0.214412
700;6.037006
720;5.949788
729;5.734763
735;9.962062
750;6.263285
756;6.687643
768;12.156638
784;5.851497
800;8.495193
810;10.603947
840;9.027785
864;5.370109
882;11.753269
896;8.963164
900;5.479552
945;10.677514
960;5.204266
972;5.241731
980;10.152167
1000;6.706172
1008;5.091946
1024;6.499810
1029;4.894305
1050;9.105121
1080;6.711711
1120;9.518311
1134;7.342142
1152;4.887247
1176;15.106314
1200;8.840663
1215;8.291155
1260;14.969860
1280;12.334724
1296;10.152807
1323;7.783993
1344;4.878314
1350;4.917372
1372;14.089030
1400;8.536139
1440;6.835006
1458;4.628177
1470;16.038575
1500;12.398579
1512;11.093334
1536;12.322512
1568;6.129417
1600;18.105146
1620;17.791272
1680;10.132702
1701;7.981437
1728;4.578455
1764;21.868505
1792;19.091349
1800;15.626962
1890;9.097977
1920;6.238328
1944;4.302192
1960;21.611581
2000;17.296736
2016;16.786206
2100;9.106844
2160;7.458521
2187;4.145224
2240;22.565646
2268;20.504865
2400;9.952884
2430;10.356494
2700;16.802044
3000;30.342274
